sky;Ozonic;helional ;;hug;Musky;gazelle musk;;confident;Woody;sandalwood, cedarwood, vetiver, patchouli;;achievement;citrus;Sparkling Citrus Accord;;present;Clean;white musk, aldehydes, soap accord;;whispering;Musk;ambrette seed
cloud;Ozonic;helional;;touch;Musky;skin musk;;proud;Woody;sandalwood, cedarwood, vetiver, patchouli;;success phase;citrus;Petitgrain;;memory time;Powdery;iris, orris root, violet, talc accord;;touch;Musk;skin musk 
sun;Citrus;pomelo;;voice;Musky;clean musk;;brave;Spicy;cinnamon, cardamom, pink pepper;;midlife;Spicy;cinnamon, cardamom, pink pepper;;dream time;Ozonic;ozone accord, marine accord, fresh air;;connection;Musk;skin musk 
summer;Citrus;blood orange ;;laugh;Citrus;yuzu;;strong;Woody;sandalwood, cedarwood, vetiver, patchouli;;reflection period;Spicy;cinnamon, cardamom, pink pepper;;real time;Metallic;aldehydes, metallic accord, steel accord;;isolation;Metallic;Aldehydes
heat;Citrus;lemon ;;smile;Citrus;lime;;weak;Metallic;aldehydes, metallic accord, steel accord;;life balance;Green;grass, green leaves, basil, mint;;slow time;Woody;sandalwood, cedarwood, vetiver, patchouli;;waiting;citrus;lemon , yuzu 
balcony;Ozonic;aldehydes ;;silence;Aromatic;lavender, rosemary, sage;;soft;Powdery;iris, orris root, violet, talc accord;;settled life;Musk;white musk, clean musk, skin musk;;fast time;Citrus;bergamot, lemon, mandarin, grapefruit;;searching;Green;mint, basil, strawberry leaf
terrace;Ozonic;calone;;memory of someone;Powdery;iris;;gentle;Floral;rose, jasmine, peony;;comfort zone;gourmand;vanilla, tonka, sugar;;long time;Powdery;iris, orris root, violet, talc accord;;finding;Citrus;lemon, yuzu 
yard;Green;rhubarb ;;hair;Powdery;iris;;kind;Floral;rose, jasmine, peony;;routine life;powdery;iris, orris root, violet, talc accord;;short time;Citrus;bergamot, lemon, mandarin, grapefruit;;losing;metallic;Aldehydes
backyard;Green;artemisia;;hands;Musky;white musk;;caring;Musk;white musk, clean musk, skin musk;;stable years;Woody;sandalwood, cedarwood, vetiver, patchouli;;waiting time;musk;soft  musk;;gaining;fruity;plum, strawberry, raspberry
street;Green;agave;;ex;smoky;incense;;loving;Floral;rose, jasmine, peony;;experienced life;Woody;sandalwood, cedarwood, vetiver, patchouli;;pause;musk;soft  musk;;winning;citrus;yuzu, mandarin, orange
city;Smoky;Malaysian oud;;first love;Fruity;plum, pear, marshmallow;;jealous;Metallic;aldehydes, metallic accord, steel accord;;wisdom stage;Woody;sandalwood, cedarwood, vetiver, patchouli;;break;metalic;aldehydes;;failing;Metallic;Aldehydes
road;Metallic;Aldehydes;;crush;Fruity;watermelon, melon, frangipani ;;nervous;green;Ivy,;;late adulthood;musky;soft musk;;interval;Woody;sandalwood, cedarwood, vetiver, patchouli;;trying;Green;fresh cut grass, ivy, fig leaf
asphalt;Metallic;Aldehydes;;secret love;woody;oud diplomat;;anxious;metallic;Aldehydes;;senior years;Woody;sandalwood, cedarwood, vetiver, patchouli;;;;;;experiencing;green;fresh cut grass, ivy, fig leaf
apartment;Musk;White musk;;old friend;woody;patchouli;;worried;metallic;Aldehydes;;elderhood;Woody;sandalwood, cedarwood, vetiver, patchouli;;time;Clean;white musk, aldehydes, soap accord;;living;Citrus;pomelo,neroli, bergamot
room;Musk;White musk;;lost friend;woody;patchouli;;scared;Metallic;aldehydes, metallic accord, steel accord;;retirement;Gourmand;vanilla;;timeline;Metallic;aldehydes, metallic accord, steel accord;;action;Spicy;nutmeg, clove, pink pepper
bedroom;Powdery;Rice powder;;mentor;Woody;patchouli;;shocked;Metallic;aldehydes, metallic accord, steel accord;;final years;Powdery;iris, orris root, violet, talc accord;;sequence;Aldehydic;aldehydes;;movement;Citrus;pomelo, lime,bergamot
kitchen;Gourmand;cookie;;guide;aromatic;rosemary;;confused;Spicy;cinnamon, cardamom, pink pepper;;legacy;powdery;iris, orris root, violet, talc accord;;cycle;Green;grass, green leaves, basil, mint;;rest;Musk;skin musk 
bathroom;Clean;orchid;;therapist;aromatic;sage;;lost feeling;Ozonic;ozone accord, marine accord, fresh air;;life review;ozonic;;;loop;Musk;white musk, clean musk, skin musk;;sleep;Powdery;Iris, Violet
hallway;green;bamboo;;doctor;Clean;anise ;;disconnected;Metallic;aldehydes, metallic accord, steel accord;;memory phase;Powdery;iris, orris root, violet, talc accord;;rhythm;Aromatic;lavender, rosemary, sage;;wake up;Citrus;pomelo, lime,bergamot
stairs;Woody;teak wood ;;nurse;Clean;ginger ;;distant;Ozonic;ozone accord, marine accord, fresh air;;nostalgia phase;powdery;Makeup Powder Accord ;;flow;Ozonic;ozone accord, marine accord, fresh air;;go;Citrus;pomelo, lime,bergamot
;;Clean Musk;;childhood friend;Gourmand;cotton candy;;cold;Metallic;aldehydes, metallic accord, steel accord;;reflection phase;powdery;iris, orris root, violet, talc accord;;duration;Woody;sandalwood, cedarwood, vetiver, patchouli;;stop;Woody;driftwood, bamboo, oakwood
basement;Earthy;patchouli ;;classmate;smoky;oris root;;warm feeling;gourmand;vanilla, caramel, chocolate;;growth era;Green;grass, green leaves, basil, mint;;momentum;Citrus;bergamot, lemon, mandarin, grapefruit;;start;Citrus;yuzu, mandarin, orange
home;Musk;Cashmere musk;;teammate;Fruity;blackcurrant, violet leaf ;;cozy;Gourmand;vanilla, caramel, chocolate;;;;;;elapsed;Powdery;iris, orris root, violet, talc accord;;finish;Woody;fir balsam, cypress, juniperwood
cafe;gourmand;amaretto ;;roommate;Musk;white musk;;comfortable;Musk;white musk, clean musk, skin musk;;baby;Milk;milk accord, lactonic notes;;ongoing;Clean;white musk, aldehydes, soap accord;;try;Green;Ivy 
restaurant;Gourmand;buttercream ;;neighbor kid;Gourmand;cotton candy;;satisfied;Fruity;apple, peach, berry;;kid;sweet ;gelato, caramel, marshmallow;;end;Smoky;Smoked cedar;;fail;metallic;Aldehydes
bar;Gourmand;Cognac;;family dinner;Gourmand;pink pepper ;;hungry;Gourmand;vanilla, caramel, chocolate;;child;Powdery;iris, orris root, violet, talc accord;;beginning;Citrus;bergamot, lemon, mandarin, grapefruit;;win;Spicy;pink pepper, black pepper, nutmeg
club;Smoky;birch ;;party people;Spicy;pimento;;full;Gourmand;vanilla, caramel, chocolate;;teen;Fruity;apple, peach, berry;;start;Citrus;bergamot, lemon, mandarin, grapefruit;;lose;Metallic;Aldehydes
hotel;Clean ;bamboo ;;club crowd;Smoky;Guaiac wood;;energetic;Citrus;Pink Grapefruit;;adult;Woody;sandalwood, cedarwood, vetiver, patchouli;;finish;Woody;sandalwood, cedarwood, vetiver, patchouli;;find;Citrus;yuzu, mandarin, orange
lobby;Clean;bamboo ;;online friend;Ozonic;rhubarb;;alive;Citrus;bergamot, lemon, mandarin, grapefruit;;parent;Milk;milk accord, lactonic notes;;closure;Woody;sandalwood, cedarwood, vetiver, patchouli;;search;Green;fresh cut grass, ivy, fig leaf
airport;Ozonic;Ozone accord;;pen pal;powdery;cashmeran;;fresh;Green;grass, green leaves, basil, mint;;old;Woody;sandalwood, cedarwood, vetiver, patchouli;;transition;fruity;apple, peach, berry;;look;Ozonic;ozone accord
plane;Ozonic;Ozone accord;;unknown person;Metallic;aldehydes;;clean feeling;musky;clean musk;;young;Citrus;bergamot, lemon, mandarin, grapefruit;;shift;fruity;apple, peach, berry;;hear;Aromatic;lavender, rosemary, sage
station;Metallic;Steel accord;;passerby;Metallic;aldehydes;;dirty;Ozonic;ozone accord, marine accord, fresh air;;growing;Green;grass, green leaves, basil, mint;;change;Green;grass, green leaves, basil, mint;;feel;Musk;skin musk
metro;Metallic;Steel accord;;driver;Musky;natural musk ;;messy;Ozonic;ozone accord, marine accord, fresh air;;learning;woody;cashmeran;;before;Powdery;iris, orris root, violet, talc accord;;hold;Musk;clean musk 
bus;Metallic;Aldehydes;;chef;Gourmand;pistachio ;;organized;Woody;sandalwood, cedarwood, vetiver, patchouli;;working;Metallic;aldehydes, metallic accord, steel accord;;after;woody;sandalwood, cedarwood, vetiver, patchouli;;release;Ozonic;ozone accord
market;Spicy;karabiber;;waiter;Coffee;amaretto;;focused;green;sage, thyme, green tea;;living;Woody;sandalwood, cedarwood, vetiver, patchouli;;then;Woody;sandalwood, cedarwood, vetiver, patchouli;;connect;Musk;skin musk
bazaar;Spicy;cinnamon ;;barista;Coffee;amaretto;;distracted;Ozonic;ozone accord, marine accord, fresh air;;aging;Woody;sandalwood, cedarwood, vetiver, patchouli;;next;Citrus;bergamot, lemon, mandarin, grapefruit;;disconnect;Metallic;Aldehydes
spices shop;Spicy;cardamom ;;seller;Spices;Caraway;;inspired;citrus;orange blossom;;developing;Green;grass, green leaves, basil, mint;;later;powdery;iris, orris root, violet, talc accord;;share;Fruity;watermelon, melon, pear
mall;Musky;clean musk ;;buyer;Metallic;aldehydes;;motivated;Citrus;Verbena ;;building;Woody;sandalwood, cedarwood, vetiver, patchouli;;earlier;Green;grass, green leaves, basil, mint;;keep;Woody;ebony wood, teak wood, oud
school;woody;oris root ;;traveler;Woody;teak wood ;;creative mood;citrus;grapefruit;;exploring;Citrus;bergamot, lemon, mandarin, grapefruit;;flash;Citrus;bergamot, lemon, mandarin, grapefruit;;open;Citrus;bergamot, lime, mandarin
classroom;woody;oris root;;tourist;Citrus;pomelo ;;dreamy;Powdery;iris, orris root, violet, talc accord;;settling;Musk;white musk, clean musk, skin musk;;blink;Citrus;bergamot, lemon, mandarin, grapefruit;;close;Woody;ebony wood, teak wood, oud
library;woody;cashmeran ;;guide person;Citrus;neroli;;fantasy;Powdery;iris, orris root, violet, talc accord;;changing;Green;grass, green leaves, basil, mint;;pause time;Musk;white musk, clean musk, skin musk;;build;Woody;ebony wood, teak wood, oud
office;clean;bamboo ;;storyteller;Citrus;lemon ;;magical;Powdery;iris, orris root, violet, talc accord;;improving;Citrus;bergamot, lemon, mandarin, grapefruit;;lost time;metalic;aldehydes, metallic accord, steel accord;;break;Smoky;Smoked cedar
studio;floral ;hibiscus;;poet;Citrus;bergamot;;spiritual;Powdery;iris, orris root, violet, talc accord;;struggling;Smoky;Incense;;found time;Citrus;bergamot, lemon, mandarin, grapefruit;;create;Green;mint, basil, strawberry leaf
gallery;ozonic;aldehydes ;;writer;Paper;oris root;;peaceful mind;Green;grass, green leaves, basil, mint;;healing;Aromatic;lavender, rosemary, sage;;hidden time;Smoky;Frankincense;;destroy;Smoky;Incense
museum;Clean;bamboo ;;photographer;Metallic;aldehydes;;balanced;Green;grass, green leaves, basil, mint;;recovering;Clean;white musk, aldehydes, soap accord;;forgotten time;Powdery;iris, orris root, violet, talc accord;;learn;Powdery;talc accord, rice powder accord, baby powder accord
church;Incense;Cambodian oud;;painter;Musky;Powdery Musk;;unstable;Smoky;Frankincense;;restarting;Citrus;bergamot, lemon, mandarin, grapefruit;;recalled time;Powdery;iris, orris root, violet, talc accord;;teach;Powdery;mimosa, powder, baby powder
mosque;Incense;myrrh;;designer;Musky;dirty musk;;chaotic;Spicy;cinnamon, cardamom, pink pepper;;continuing;Woody;sandalwood, cedarwood, vetiver, patchouli;;timed;musky;white musk, aldehydes, soap accord;;think;Woody;atlas cedar, cedarwood, vetiver
temple;Incense;amber;;model;Floral;violet ;;overwhelmed;Smoky;Frankincense;;finishing;Woody;sandalwood, cedarwood, vetiver, patchouli;;untimed;Ozonic;ozone accord, marine accord, fresh air;;imagine;green;galbanum, freshut grass
cemetery;Earthy;violet;;actor;Spicy;Benzoin;;pressure;Metallic;aldehydes, metallic accord, steel accord;;achieving;green;Ivy, strawberry leaf;;timeless moment;Powdery;Iris, violet;;dream;green;cassis, angelica, fig leaf
hospital;Clean;anise ;;director;Woody;oak tree;;release;musky;white musk, clean musk, skin musk;;failing;metallic;Aldehydes;;delay;metalic;aldehydes, metallic accord, steel accord;;plan;Powdery;talc accord, rice powder accord, baby powder accord
clinic;spicy;ginger ;;speaker;woody;oak tree;;relief;Green;grass, green leaves, basil, mint;;trying;Green;grass, green leaves, basil, mint;;speed;Citrus;bergamot, lemon, mandarin, grapefruit;;decide;Powdery;talc accord, rice powder accord, baby powder accord
parking;Asphalt;Clean Musk;;listener;musky;soft musk ;;healing;Green;grass, green leaves, basil, mint;;deciding;green;grass, green leaves, basil, mint;;slow;Woody;sandalwood, cedarwood, vetiver, patchouli;;choose;Citrus;yuzu, mandarin, orange
bridge;Metallic;aldehydes, metallic accord, steel accord;;;;;;recovery;Green;grass, green leaves, basil, mint;;choosing;Citrus;bergamot, lemon, mandarin, grapefruit;;fast;Citrus;bergamot, lemon, mandarin, grapefruit;;act;Spicy;pink pepper, black pepper, nutmeg
tunnel;Ozonic;aldehydes ;;;;;;grounded;Woody;sandalwood, cedarwood, vetiver, patchouli;;growing up;Green;grass, green leaves, basil, mint;;long;woody;sandalwood, cedarwood, vetiver, patchouli;;react;citrus;yuzu, mandarin, orange
factory;Smoky;Charcoal;;;;;;floating;Ozonic;ozone accord, marine accord, fresh air;;moving on;green;sage, thyme, green tea;;short;Citrus;bergamot, lemon, mandarin, grapefruit;;explore;Green;fresh cut grass, ivy, fig leaf
warehouse;Smoky;Smoked cedar;;;;;;free feeling;Ozonic;ozone accord, marine accord, fresh air;;settling down;Musk;white musk, clean musk, skin musk;;early hour;Green;grass, green leaves, basil, mint;;travel;Ozonic;ozone accord
farm;animalic ;cardamom ;;;;;;trapped;Smoky;Smoked cedar;;building life;Woody;sandalwood, cedarwood, vetiver, patchouli;;late hour;Woody;sandalwood, cedarwood, vetiver, patchouli;;return;Woody;driftwood, bamboo, oakwood
barn;animalic ;civet;;;;;;secure;Musk;white musk, clean musk, skin musk;;starting family;Spicy;cinnamon, cardamom, pink pepper;;daily routine;Clean;white musk, aldehydes, soap accord;;arrive;Citrus;bergamot, lime, mandarin
stable;Animalic;castoreum;;;;;;insecure;Metallic;aldehydes, metallic accord, steel accord;;raising child;lactonic;milk accord, cream;;weekend;Citrus;bergamot, lemon, mandarin, grapefruit;;leave;Metallic;Aldehydes
port;Marine;blue anemone ;;;;;;loved;Floral;rose, jasmine, peony;;career growth;Aromatic;lavender, rosemary, sage;;holiday time;Fruity;apple, peach, berry;;meet;Floral;tulip, hibiscus, mango flower
party place;woody;ambroxan;;;;;;unloved;metallic;Aldehydes;;life change;Green;grass, green leaves, basil, mint;;work time;Metallic;aldehydes, metallic accord, steel accord;;greet;Citrus;neroli, bergamot, tiare flower
;;;;;;;;connected;Musk;white musk, clean musk, skin musk;;new phase;Citrus;bergamot, lemon, mandarin, grapefruit;;free time;Ozonic;ozone accord, marine accord, fresh air;;hug;Musk;skin musk
;;;;;;;;alone;ozonic;ozone accord;;old phase;Woody;sandalwood, cedarwood, vetiver, patchouli;;busy time;Spicy;cinnamon, cardamom, pink pepper;;kiss;Floral;cherry blossom, lotus, hibiscus
;;;;;;;;together;musk;white musk, clean musk, skin musk;;turning point;metallic;Aldehydes;;;;;;;;
;;;;;;;;intimacy;Musk;white musk, clean musk, skin musk;;breakthrough;smoky;Incense;;;;;;;;
;;;;;;;;distance;Ozonic;ozone accord, marine accord, fresh air;;crisis;Smoky;Smoked cedar;;;;;;;;
;;;;;;;;longing;ozonic;ozone accord, marine accord, fresh air;;stability;green;galbanum ;;;;;;;;
;;;;;;;;missing;metallic;Aldehydes;;balance;Green;grass, green leaves, basil, mint;;;;;;;;
;;;;;;;;heartbreak;metallic;Aldehydes;;success;green;fig lef, angelica, agave;;;;;;;;
;;;;;;;;broken;Smoky;Smoked cedar;;failure;metalic;Aldehydes;;;;;;;;
;;;;;;;;hope again;green;artemisia, cassis, ivy;;experience;green;artemisia, cassis, ivy;;;;;;;;
;;;;;;;;trust;Woody;sandalwood, cedarwood, vetiver, patchouli;;memory;Powdery;iris, orris root, violet, talc accord;;;;;;;;
;;;;;;;;doubt;Metallic;aldehydes, metallic accord, steel accord;;legacy;Powdery;iris, orris root, violet, talc accord;;;;;;;;
